date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:03	2447/2447	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Apr%202018%2006:22:17%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/theme.js?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/themef0ec.js	(from https://art-furniture-1.myshopify.com/)
00:00:04	2095/2095	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Jul%202017%2018:40:45%20GMT	http://cdn.shopify.com/s/assets/themes_support/shopify_common-040322ee69221c50a47032355f2f7e6cbae505567e2157d53dfb0a2e7701839c.js	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/assets/themes_support/shopify_common-040322ee69221c50a47032355f2f7e6cbae505567e2157d53dfb0a2e7701839c.js	(from https://art-furniture-1.myshopify.com/)
00:00:05	1612/1612	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Mar%202018%2004:07:56%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/newsletter-js.js?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/newsletter-jsf0ec.js	(from https://art-furniture-1.myshopify.com/)
00:00:07	117/117	---MC-	302	error ('Found')	text/html	date:Sat,%2012%20May%202018%2018:00:07%20GMT	https://art-furniture-1.myshopify.com/account	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/account.27.delayed	(from https://art-furniture-1.myshopify.com/)
00:00:08	70519/70519	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2018:00:08%20GMT	https://art-furniture-1.myshopify.com/account/login	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/account/login.html	(from https://art-furniture-1.myshopify.com/)
00:00:10	3371/3371	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2018:00:11%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/logo_e3707644-28bc-4865-9941-21a60cf01645_compact.png?v=1522310933	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/logo_e3707644-28bc-4865-9941-21a60cf01645_compact6c81.png	(from https://art-furniture-1.myshopify.com/)
00:00:11	68284/68284	---MCZ	200	added ('OK')	text/html	etag:cacheable:1b562907350828933fd8f1fb1cfb213f	https://art-furniture-1.myshopify.com/pages/wishlist	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/pages/wishlist.html	(from https://art-furniture-1.myshopify.com/)
00:00:12	405/405	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2018:00:12%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/email_compact.png?v=1521613267	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/email_compact474c.png	(from https://art-furniture-1.myshopify.com/)
00:00:13	375/375	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2018:00:14%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/files/cart_797f5086-4073-494a-a258-e0cf4240f7e6_compact.png?v=1522485538	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/files/cart_797f5086-4073-494a-a258-e0cf4240f7e6_compactf4e9.png	(from https://art-furniture-1.myshopify.com/)
00:00:14	68274/68274	---MCZ	200	added ('OK')	text/html	etag:cacheable:50046756bdb1cf9be70749da2eb22ea2	https://art-furniture-1.myshopify.com/cart	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/cart.html	(from https://art-furniture-1.myshopify.com/)
